,birth,death,gender,hair,height,name,race,realm,spouse,biography,history
517,TA 1787,TA 1944,Male,,,Ondoher,Men,Gondor,Unnamed wife,"Ondoher succeeded his father Calimehtar in TA 1936. During his time the rulers of Gondor and Arthedain became aware that a power was coordinating attacks on the Exiles of Númenor, leading to the two kingdoms to renew contact and form an alliance. Ondoher's daughter Fíriel married Prince Arvedui of Arthedain.
In TA 1944, the Wainriders invaded Gondor from the east while their allies, the Haradrim, invaded Gondor from the south. Ondoher and his eldest son and heir, Artamir, led the main army close to the Black Gate, where they clashed with the Wainriders. The left wing of Ondoher's army was commanded by Adrahil, the Prince of Dol Amroth. The right wing was commanded by Minohtar, the captain of Gondor's armies. The center was commanded by Ondoher himself.
In the ensuing battle Ondoher was slain together with Artamir, and Gondor was defeated.
The rearguard of the army defended Ithilien while Adrahil joined up with General Eärnil, who had defeated the Haradrim.
Although Eärnil finally defeated the Wainriders, it was learned that Ondoher's second son Faramir (not to be confused with Faramir, brother of Boromir) was slain with his father, despite a law requiring that at least one heir should be left behind.
There was therefore a succession crisis, with two claimants coming forward: Arvedui of Arthedain and Eärnil. Although Arvedui had a strong claim by his way of his wife Fíriel, who by ancient Númenórean law now should have become Ruling Queen and further claim as a descendant of Isildur and theoretical High King, the throne was granted by Steward Pelendur and the Council of Gondor to the general Eärnil, a descendant of Anárion, who would reign as King Eärnil II.[2]
Ondoher was called Ondohir in the first edition of The Return of the King.[citation needed]",
518,"Sometime before ,SA 799",,Male,,,Orchaldor,Men,,Ailinel,"Orchaldor was a noble, son of Hatholdir a descendant of the House of Hador and a close personal friend of Tar-Meneldur. He married Ailinel the elder daughter of Tar-Meneldur and sister of Tar-Aldarion. This related him by marriage to Tar-Meneldur's heir Aldarion. He and Ailinel had a son named Soronto who should have become King but the laws of succession were changed by Tar-Aldarion that allowed his daughter to become Ruling Queen.[1]",
519,TA 2865,TA 2994,Male,,,Ori,Dwarves,,,"Early life & Quest of Erebor[]
Ori with Dori and Nori
Ori lived in Thorin's hall in the northern Blue Mountains for many years, alongside his cousins: Dori and Nori. In the year TA 2941, Ori became a member of Thorin's Company and travelled with Thorin, Gandalf, Bilbo Baggins, and the other Dwarves on the quest for the Lonely Mountain, culminating in the death of Smaug. Finally, he and the other Dwarves of Thorin's Company fought in the Battle of Five Armies in TA 2942, which he survived.[3]
In Erebor[]
Ori would then settle in Erebor, under Dáin II Ironfoot, Thorin's successor as King under the Mountain, with his surviving kin for a time, enjoying the wealth and prosperity of their newly captured home. In the years between the Quest for Erebor and the eventual expedition into Moria, Ori became versed in Elvish script, and continued to progress as a scribe.
Final days[]
Ori's final resting place in Moria, holding the Book of Mazarbul
Last page of the Book of Mazarbul
Ori was one of the several Dwarves that accompanied Balin to the lost Dwarf-realm within Moria in TA 2989, to begin a colony there. Though this was successful at first, the colony was overwhelmed in a long struggle with the goblins there, and was destroyed in TA 2994 when the Balrog Durin's Bane emerged. After Balin died, Ori and others lived long enough to bury him properly in a stone tomb, before perishing themselves in the last stand against Orcs, in the Chamber of Mazarbul. Ori's last moments were written in The Book of Mazarbul, from which Gandalf read when the Fellowship of the Ring passed by Balin's Tomb twenty-four years later. Ori's body had been left clutching the scarred and worn book.[4][5][6]",
520,YT,"FA 495 ,Battle of Tumhalad",Male,Golden,,Orodreth,Elves,Nargothrond,Unnamed wife,"Through his grandmother (mother) Eärwen of the Falmari (Teleri of Aman), he shared the blood of both the Ñoldor (House of Finarfin) and that of the Falmari (House of Olwë).[3] After the Doom of Mandos was announced in Araman, he and the rest of the Ñoldor left for Middle-earth. Even as his grandfather (father) Finarfin and many of his House turned back to Valinor, Orodreth stayed with his uncle Fingolfin and his host and pursued his journey to Middle-earth.[4]
Orodreth once held the isle of Minas Tirith in the vale of Sirion[5] until Sauron overran the isle and turned it into Tol-in-Gaurhoth. Orodreth then fled south to Nargothrond.[6]
When Beren came to the Kingdom of Nargothrond, King Finrod went with him on his quest for the Silmaril. However, Celegorm and Curufin, the Sons of Fëanor, were also at Nargothrond, and forced Finrod to lay down his crown. Orodreth took it, ruling as regent, but the Sons of Fëanor held the real power. When news came that Finrod had been killed, the Sons of Fëanor were expelled from Nargothrond and Orodreth became its next king.[7]
When Túrin Turambar arrived in Nargothrond he gradually became its leader and Orodreth held no actual power, even if he was still King in name. High in Orodreth's councils, Túrin convinced him to build the Bridge of Nargothrond and abandon their secretive method of warfare in favor of open warfare.[8] In FA 495, Orodreth and Túrin marched out to meet the hosts of Morgoth and the Dragon Glaurung at Tumhalad and Orodreth died fighting there, and his realm was subsequently conquered.[9][10]",
521,TA 2576,TA 2685,Male,,,Orodreth (Steward),Men,,Unnamed wife,"Born in TA 2576, Orodreth was the son of Belecthor I. Orodreth succeeded his father as Steward in TA 2655.[1]
The Corsairs of Umbar were the major threat to Gondor at the time, although no major events are recorded. Orodreth died in TA 2685 at the age of 109 years old. He was followed by his son Ecthelion I.[1][2]",
522,SA 382,,Male,,,Oromendil,Men,,,"Oromendil was the first son and the second child of Nolondil. He had two siblings: Yávien, his older sister and Axantur, his younger brother. Nothing else is known of his life.",
523,First Age,SA 3434,Male,,,Oropher,Elves,Woodland Realm,Unnamed wife,"First and Second Ages[]
Oropher with Thranduil, by Kazuki Mendou
Oropher was one of the Sindar of Doriath.  After the War of Wrath, he declined to depart Middle-earth as many others did, and instead went over the Blue Mountains with his household. He eventually ended up in Greenwood the Great, where Silvan Elves of Nandorin descent lived, and he was taken by them as lord. His capital was at Amon Lanc.[1]
West of Oropher's realm was the realm of Lórinand across the Anduin, where Amdír, another Sindar, ruled over Silvan Elves.[1]
War of Last Alliance[]
Before the War of the Last Alliance, Oropher and his folk left their capital at Amon Lanc and crossed Anduin to live with their kin in Lórinand. Three times, he moved his people northwards, eventually settling around Emyn Duir, the Mountains of Mirkwood. His retreat northwards was because of his desire to move ""out of range"" from the Dwarves of Khazad-dûm and avoid the threat of Mordor.[2]
Though he and his people had little relation with other peoples of Middle-earth, Oropher understood that there could be no lasting peace until Sauron was defeated. Oropher answered the summons for the Last Alliance of Elves and Men but marched as an independent force with Amdír, King of Lórien. He joined with Gil-galad's forces as they marched down the Anduin to Dagorlad. Oropher's force was lightly armed and untrained in fighting pitched battles in the open.[1]
In the Battle of Dagorlad, Oropher's company fought valiantly, but he was slain with the greater part of his people when he, with King Amdír and his warriors, called an early charge upon the enemy without orders from the Ñoldorin High-king Gil-galad. After Sauron was defeated, Thranduil, Oropher's son and heir, returned to Eryn Galen with the shattered remnants of his people's grand army. Nevertheless, while depleted, his army was still large enough that the Orcs hiding in secret in the Misty Mountains did not dare attack them.[1]",
524,,,Male,,,Orophin,Elves,,,"Orophin (left) with his brothers Haldir and Rúmil in The Lord of the Rings: The Fellowship of the Ring
Orophin guarded the western border of Lothlórien at the time of the War of the Ring. He stood guard with other Elves, including his brothers Haldir and Rumil.[1]
Like Rúmil, Orophin knew very little Westron; therefore, he associated little with the Fellowship of the Ring. When Haldir saw Gollum rustling through the trees near where the hobbits stayed for the night, Orophin left his brothers to warn the Galadhrim.[1]",
525,TA 222,TA 492,Male,,,Ostoher,Men,Gondor,Unnamed wife,"He moved his summer residence from the capital city of Osgiliath to the fortress of Minas Anor in TA 420. During this time he rebuilt and greatly added to it and over time it would become a city as well as a fortress, until after the Great Plague of 1636 when it became the capital of Gondor, over twelve-hundred years later.
In the last two years of his reign the Easterlings started attacks on Gondor. Due to his advanced age, he sent his son Tarostar (later Rómendacil) to meet the Easterling threat, who was victorious.
Ostoher died in TA 492 at the age of two-hundred seventy after a rule of eighty-one years and was succeeded by Tarostar.[2]",
526,TA 2910,TA 3012,Male,,"1.22m (4'0"")",Otho Sackville-Baggins,Hobbits,,Lobelia Sackville-Baggins,"Otho was married to Lobelia Sackville-Baggins. He adopted the name of both his parents, Longo Baggins and Camellia Sackville, effectively founding a new family. He was the head of the family for many years, and his son Lotho had ambitions to succeed Bilbo (and later Frodo) as head of the Baggins family. Had that happened before he died, Lotho would have called himself 'Baggins-Sackville-Baggins'.[1][2]",
527,TA 1879,TA 1998,Male,,,Pelendur,Men,,,"Pelendur was born in TA 1879, he was a descendant of Húrin of Emyn Arnen, an earlier Steward of Gondor and the grandfather of Mardil Voronwë, the first Ruling Steward of Gondor.
Pelendur helped Gondor through a constitutional crisis following the premature death of King Ondoher and his heirs in battle in TA 1944. He effectively ruled the kingdom for one year while observing the claims of the two claimants, Prince Arvedui of Arthedain and the general Eärnil who was victorious in battle against the Wainriders (Easterlings).
Pelendur dismissed Arvedui's claim maintaining that the rule of Gondor belonged to the heirs of Anárion, even though Isildur was the High King of both Gondor and Arnor before his death. Arvedui also argued, his wife Fíriel, the daughter of Ondoher should rightfully become Ruling Queen due to the old Númenorean law of accession, which stated the eldest remaining child of the king should inherit the throne. Pelendur rejected Fíriel's claim saying in Númenor, it was peaceful enough to have women as rulers. However, the Realms in Exile were constantly under attack and therefore needed a male ruler to lead the armies.
Based on these arguments the Council of Gondor, under the influence of Pelendur, threw out Arvedui's claim and chose Eärnil as King, in TA 1945 defying the Númenórean law of succession. Although Pelendur's choice prevented the heirs of Isildur from reuniting the Realms in Exile, it may have averted another Kin-strife. Eärnil, the victorious general and a direct male heir of Anárion, had become a hero in Gondor and had the support of the populace for his deeds in battle. Installing Arvedui, a foreigner, as king could have stirred up resentment amongst the people of the coastlands and the supporters of Eärnil, who had saved Gondor.
This political precedent was one reason for Aragorn's caution in assuming the throne of Gondor at the end of the Third Age.
With the accession of King Eärnil II in TA 1945, Pelendur handed over rule of Gondor to him, and resumed the traditional duties of the office of Steward willingly. Pelendur died in TA 1998 at the age of 119 years old, after his death the Stewardship formally became hereditary and passed to his son Vorondil the Hunter.",
528,"Early ,First Age",,Male,,Tallest of the Elves of Gondolin,Pengolodh,Elves,,,"First Age[]
Pengolodh was born in Nevrast to a Ñoldorin lord and a Sindarin lady. Early tales about the Fall of Gondolin mention him as one of the lords of the city, and ruler of the Twin Folk of the Pillar and the Tower of Snow. As one of the Lambeñgolmor, he was known as the Sage of the Ñoldor, and counted as the greatest Loremaster since Fëanor and Rúmil. He was also the tallest of the Elves of Gondolin.
Pengolodh escaped the sack of the city with Tuor and Idril's company of survivors, and followed them to the Mouths of Sirion. He is not further mentioned in writing, but since the Annals of Beleriand are attributed to him, as well as the edited Annals of Aman (furthering the work of Rúmil), he must have stayed in Lindon for at least a while after the War of Wrath, so that the Dúnedain could copy his work.
It was during his stay at the Mouths of Sirion that Pengolodh did the majority of his work. Is attributed to him the composition of the Lhammas and other prominent linguistic texts from ancient Middle-earth, in which he collected much material concerning also the mátengwië, the gesture-code of the Elves.[1] Basing on information obtained from the refugees of Doriath, he made copies and extracts of documents written in Cirth, possibly preserving them as an active writing system.
Second Age[]
Later, in the Second Age, he lived in the Ñoldorin kingdom of Gil-galad in Lindon. Pengolodh was one of the few Elves admitted into Khazad-dûm, where he might have learned Khuzdûl. Pengolodh left Middle-earth during the War of the Elves and Sauron after the fall of Eregion, and left for Tol Eressëa, last of the Loremasters to leave Middle-earth.
900 A.D[]
After removing himself to Tol Eressëa, Pengolodh dwelt in a village called Tavrobel (or Tathrobel). Centuries later, Ælfwine spoke with him there.[1] When Ælfwine discovered the island of Tol Eressëa (c. 900 A.D.) he was told stories by Pengolod or studied his works (and those collected by Pengolod from other authors both Elves and men) and translated them.
Pengolodh's collection also included the writings of Rúmil and Dírhaval.",
529,"Late ,Third Age",,Female,,,Mrs. Proudfoot,Hobbits,,Odo Proudfoot,"She married Odo Proudfoot at some point prior to TA 2946, when their son Olo was born. Little to nothing else is known of her life, including when she died.[1]",
530,TA 2904,TA 3005,Male,Brown Gray (movie),,Odo Proudfoot,Hobbits,,Mrs. Proudfoot,"Odo Proudfoot at Bilbo's Farewell Birthday Party
Odo Proudfoot was the cousin of Bilbo Baggins. Odo was born in TA 2904 (SR 1304). His parents were Bodo Proudfoot and Linda (Baggins) Proudfoot – aunt of Bilbo. He had a son named Olo to an unnamed wife and a mischievous grandson Sancho Proudfoot.
Odo Proudfoot was a guest at Bilbo's Farewell Birthday Party on September 22, 1401 (3001). He became annoyed when Bilbo used the incorrect plural of his family name: Proudfoots instead of the correct Proudfeet. When Bilbo disappeared using his Magic Ring, Odo took his feet off the table and stamped on the ground.
Odo Proudfoot died in TA 3005 (SR 1405) of the Third Age.[1][2][3]",
531,"Late ,First Age",FA 460,Male,,,Radhruin,Men,,,"After the Dagor Bragollach, Radhruin remained with Barahir and his company who refused to surrender or submit to the will of Morgoth. With Barahir and his band of men, he survived as one of the outlaws for nearly five years in the barren highlands of Taur-nu-Fuin above the forest of Dorthonion, the land that had fallen in the hands of Morgoth. Radhruin and the others were eventually betrayed to Sauron by one of their members, Gorlim the Unhappy, and were killed at Tarn Aeluin.[1][2]",
532,"Late ,First Age",Late First Age ,Male,,,Ragnir,Men,,,"After his release from Morgoth's captity, Húrin returned to Dor-lómin looking for his kin. However, he found his own land ruled by the Easterlings and left Hithlum with seven companions, led by Asgon. Ragnir was the youngest member of this company.[1] The company crossed the Ered Wethrin and went down the course of the Lithir to the southern end of the Vale of Sirion. There Húrin decided to return to Gondolin, but he could not tell his desire to anyone due to his oath of secrecy. Thus, one night near the Brithiach, Húrin waited until the others slept and then he fled alone. When the company discovered the escape of Húrin, Ragnir suggested to give up the quest and come back to Dor-lómin, because their lord clearly wanted to flee alone.[1] However, Asgon replied that was their duty to find and follow him everywhere and then suggested to look for him in nearby Brethil, saying that the Men of Brethil were good and that they would welcome them even if they were strangers, since the Lord of Brethil was akin to the House of Hador. Despite Ragnir's pessimism, the company chose to follow Asgon into the forest, because he was notoriously stout and lucky. In the forest the company fell asleep, but they were soon noticed by the march-wardens of Brethil and took captive. In the early morning, they were brought before Ebor, captain of the march-wardens, who claimed that because the Master of the North-march was not with them at that time, he had to bring them before the new Chieftain of Brethil, Hardang son of Hundad. Thus, the prisoners were blindfolded and lead by devious ways to Obel Halad, where Hardang scorned and accused them of spying. Finally, their weapons were taken and the company was ejected from Brethil, because Túrin murdered Brandir, but their lives where spared because the Haladin where grateful for the slaying of Glaurung. After guiding them blindfolded back to the North-march, Ebor chose to give them their weapons back, but warned them to not enter Brethil again, or they all would be killed on sight.[1] Once survived this misadventure, Ragnir asked to Asgon what they should do, wryly noting that they were still alive thanks to Asgon's luck. Asgon suggested to go to the Crossings of Taeglin, because he still wanted to seek Húrin and hoped that there they will hear news about him. Despite he chose to follow Asgon westwards, once again Ragnir commented that they might instead hear bow-strings and be killed on sight.
The final destiny of Húrin's company remains unknown, because Tolkien left the tale unfinished.",
533,"Mid ,First Age",FA 460,Male,,,Ragnor,Men,,,"After the Dagor Bragollach, Ragnor remained with Barahir and his company who refused to surrender or submit to the will of Morgoth, thus they became outlaws surviving for nearly five years. He and the others were eventually betrayed to Sauron by the unhappy Gorlim and killed at Tarn Aeluin.[1][2]",
534,TA 2849,"Late ,Third Age",Male,,,Rowan Greenhand,Hobbits,Shire,Belba Baggins,"Rowan was the first and oldest child of Holman the Greenhanded of Hobbiton. She had four younger siblings Halfred, Erling, Hending, and Rose. She married Hob Gammidge of Tighfield and had one son named Hobson, or Roper, Gamgee in TA 2885 (SR 1285).[1]",
535,SR 1255,SR 1348,Male,,,Rudigar Bolger,Hobbits,Bree,Belba Baggins,"Rudigar Bolger was the son of Adalgar Bolger and the husband of Belba Baggins. He became the head of the Bolger family as the eldest heir. He died in SR 1348 at the high age of 93.
He had a son, Herugar.[1]",
536,,,Male,,,Rufus Burrows,Hobbit,,Asphodel Brandybuck,"Rufus married Asphodel of the Brandybuck family and had one son with her, Milo Burrows, who was born in TA 2947 (SR 1347).[1]",
537,FA 450,FA 473,Female,,,Rían,Men,,Huor,"Rían was the daughter of Belegund and the cousin of Morwen and was born around 450 of the First Age in probably in Ladros, Dorthonion. Rían was a gentle hearted woman and was a lover of nature, especially trees and flowers, and loved neither hunting nor war. She was also a singer and composed songs. She was only a young child during the Dagor Bragollach in FA 455, when Belegund became a companion of Barahir. Then, she was led to safety with the other women and children with Emeldir, the mother of Beren to Dor-lómin where the House of Hador dwelt. Rían's father died in FA 461.[2]
Around FA 470, when Rían was twenty, she wedded Huor of the House of Marach, whose brother Húrin was married to Rían's cousin Morwen. They were married only two months for Huor joined the armies of the Edain in the Nírnaeth Arnoediad and was slain in combat with a poison arrow. Soon after that, Rían gave birth to a son, Tuor, and during the winter month, Rían lamented to her infant son that the Nirnaeth Arnoediad and the deeds of Men there would cause them to be shunned by both Elves and Dwarves.[3] She them entrusted Tuor to Annael of the Sindar living in the hills Mithrim for fosterage.[4][5] Afterwards, she went to the Haudh-en-Nirnaeth sometime later in FA 473 and fell into grief and despair upon seeing the horror of the losses of the battle where her husband was killed, and then laid herself on the mound and died. She was only twenty-three years old.[5][6][7][8]",
538,c. T.A. 2328,,Female,,,Rían (Gondor),Men,,Unnamed husband,"Rían was the daughter of the Steward Barahir. When her brother the Steward Dior died childless and thus without an heir, her son Denethor I became the new Ruling Steward of Gondor. Her fate is unknown.[1]
Her name may have been influenced by the Edain woman Rían, the wife of the First Age hero Huor.",
539,TA 310,TA 541,Male,,,Rómendacil I,Men,Gondor,Unnamed wife,"Rómendacil, initially named Tarostar, was the son of King Ostoher. When the Easterlings invaded in TA 490, Tarostar as crown-prince was charged with leading the defense against them, as Ostoher was too old. He succeeded his father upon his death in TA 492. Tarostar defeated the Easterlings, after many battles, by TA 500. After the victory he renamed himself Rómendacil, meaning ""East-victor"".
It was he that created the office of the Steward of Gondor, as a high councilor to the king.[3] When the line of kings failed two thousand years later, the holders of this office would rule Gondor.
The peace on Gondor's frontiers was not to last forever: forty years later in TA 541 the Easterlings invaded once more, and Rómendacil rode to meet them in battle, but was slain.
He was succeeded by his son Turambar.[1]",
540,TA 1126,TA 1366,Male,,,Rómendacil II,Men,Gondor,Unnamed wife,"Minalcar was born in TA 1126, toward the end of the long reign of Hyarmendacil I and he rose to power early because his uncle Narmacil I (eldest son of Atanatar II) wished to devote himself to a life of pleasure.
He was ""Regent of the realm"" of Gondor from TA 1240 and struck a decisive blow against the Easterlings, whom he heavily defeated in TA 1248 near the Sea of Rhûn. He also fortified Gondor and made pacts with the Northmen of Rhovanion, all before he took the throne. After Narmacil's death, he remained Regent for ten years under his father Calmacil.
When he finally ascended to the throne after the death of his father, he immediately took the name Rómendacil (East-victor), as his distant forefather Tarostar had done. He was responsible for the Argonath, the pillars of the Kings. They stood above Nen Hithoel on the Anduin river long into the Fourth Age and appear prominently in The Lord of the Rings.
To cement an alliance with the Northmen, Rómendacil II sent his son Valacar as an ambassador. While Valacar was on his mission he married Vidumavi, the daughter of Vidugavia, the 'King' of Rhovanion.[2] In TA 1260, Rómendacil summoned him and his Northmen family back to Gondor, to take part in the duties of the realm. This marriage was controversial and would ultimately lead to the disastrous Kin-strife.[3]
Rómendacil died in TA 1366 after reigning 62 years and ruling for 126 and was succeeded by Valacar.",
541,YT,,Male,,,Rúmil (Noldo),Elves,,,"Rúmil was possibly born in Valinor, or was perhaps one of the firstborn Elves. He thrived in Valinor, being the first to invent the art of writing down words with pen or brush on many different mediums: he invented the alphabet called Sarati (each letter being a Sarat). This alphabet was later expanded and perfected by Fëanor as the Tengwar. Rúmil was also a skilled linguist, and when the Teleri finally arrived in Valinor he was first to discover just how the Telerin language had changed from Common Eldarin compared to Quenya. He became part of an Elvish culture of loremasters known as the Lambeñgolmor.
When the Ñoldor determined to return to Middle-earth in pursuit of Morgoth, Rúmil was among those who refused the summons of Fëanor, remaining in Tirion as one of the Ñoldor of Finarfin.[1]",
542,,,Male,,,Rúmil of Lórien,Elves,,,"Rúmil and his brothers
Rúmil was a marchwarden of Lórien, and was one who guarded the border of the western part of the forest, with his brothers. He was present at the Fellowship of the Ring's first meeting with the Galadhrim.
Later, he and Haldir guided the Fellowship to Caras Galadhon. Rúmil spoke very little Westron and so could not significantly interact with the Fellowship when he and his brothers encountered them in the forest.[1]",
543,TA 2918,TA 3020,Female,,"1.17m (3'10"")",Lobelia Sackville-Baggins,Hobbit,,Otho Sackville-Baggins,"Lobelia married Otho, and had a son, Lotho. Lobelia was known to be a covetous and grasping hobbit, and had designs on Bag End, as Otho was Bilbo's paternal first cousin and next of kin. During Bilbo's disappearance, Lobelia and Otho claimed the smial; when Bilbo returned from his adventure with Thorin and Company, Lobelia and Otho were in the midst of auctioning off the contents of Bag End with the firm of Grubb, Grubb and Burrowes.[1]
After Bilbo's eleventy-first birthday party, Lobelia and Otho were incensed that Bilbo had left Bag End to Frodo, a more distant cousin once removed, and questioned the validity of Bilbo's will. Since much of Bilbo's silverware vanished during his adventure with the Dwarves, when Bilbo left the Shire permanently, he gave Lobelia a box of silver spoons labeled ""For Lobelia, from Cousin Bilbo"", as a mathom.[2] Eventually, Lobelia was able to acquire Bag End when Frodo sold it to her for under market value under his ruse of moving to Crickhollow, but by this time Otho had died and was unable to enjoy it.[3]
During the War of the Ring, Lobelia opposed Sharkey after hearing from the Ruffians that they were ordered to build sheds at Bag End. After rudely telling her to step aside, she became enraged and attacked the leader using only her umbrella as a weapon but she lost and was imprisoned in the Lockholes at Michel Delving.[4] Freed after the Scouring of the Shire, Lobelia was greeted with raucous applause due to her spirit in defying Saruman's thuggery, and she was touched as she had never before been popular due to her avarice. However, she was heartbroken over Lotho's murder, and so granted Bag End back to Frodo and what was left of her money hoping he would use it to help hobbits who had lost their homes, due to Sharkey's tyranny. She moved in with her original family, the Bracegirdles of Hardbottle. She died in the spring of 3020, and was over 100 years old.[5]",
544,TA 2964,TA 3019,Male,Sandy,"1.22m (4'0"") ",Lotho Sackville-Baggins,Hobbits,,,"Lotho was born in the year SR 1364 to Otho Sackville-Baggins and his wife Lobelia. He, like the rest of his family, was very unpopular and generally disliked in the Shire. Like his father and mother, he had always desired Bag End for himself - in the year SR 1418 of Shire Reckoning he had already waited sixty-two years for the inheritance, but was foiled when Bilbo's nephew Frodo Baggins was bestowed the home.
In TA 3012, after Otho had passed away, Lotho came to be considered a wealthy Hobbit through inheriting his father's pipe-weed plantations in the Southfarthing.[1]
In TA 3016 or TA 3017, Lotho began to quietly sell away the best Pipe-weed to Men, using great wagons at Sarn Ford, in exchange for money. Most of these Men were Ruffians in the employ of Saruman. Using this money, Lotho began buying up an excessive amount of property including inns, farms, malt-houses, leaf-plantations, and mills, supposedly including the Old Mill; while he kept his activities a secret, rumors of them inevitably spread throughout the Shire.[1]
In TA 3018, after Frodo sold Bag End to the Sackville-Baggins, Lotho arrived at Bag End with his mother after lunch on September 23 to inspect their new home.[2] A short time after moving into Bag End, Lotho had the Old Mill torn down, hiring outsiders to build a New Mill, bigger than the old one, in addition to other mills under the guise of grinding corn faster. By December, Lotho's trades with outsiders began to include things beyond just Pipe-weed. As a consequence, things began to become scarce as winter came and people started getting angry. To appease them, Lotho came up with an answer to their struggles; he invited some Ruffians among his buyers to stay in the Shire to assert his dominance. Initially, those harmed by the activities of the Ruffians were compensated by Lotho, but soon enough Lotho could not keep up with the Ruffians. After Will Whitfoot, the Mayor of the Shire, decided to journey to Bag End to confront him in protest, Lotho sent his Men to imprison him in the Lockholes.[1]
Not that long within the New Year, Lotho declared himself as the Chief Shirriff, calling himself the Chief. With the aid of Sharkey's Men under his command, the Shire became a totalitarian regime. Lotho restricted the inns to the Ruffians, made a new version of The Rules, and sent his Men to gather goods ""for fair distribution"". While anyone who disagreed with him was sent to the Lockholes, there was resistance to his rule. Fredegar Bolger led a band of rebels in the Brockenbores near the Hills of Scary, though Lotho's Men smoked them out, sending them to the Lockholes.[3] In Tookland, Paladin II Took also resisted and the Tooks hunted any Ruffian Lotho sent there.[1]
Eventually however, Lotho's regime came to an end on September 22[4]  when he was stripped of his power after Saruman came to Bag End under the alias of Sharkey. Lotho was stabbed in his sleep by Gríma at the behest of Saruman (who suggests Gríma may have eaten him as well). Publicly, Lotho simply disappeared from the public eye and his mother was taken to the Lockholes.[1]",
545,SR 1179,,Male,,,Sadoc Brandybuck,Hobbits,,Unnamed wife,"Sadoc was the second son of Gormadoc Brandybuck, the Master of Buckland, and Malva Headstrong. His brothers were Madoc and Marroc. Sadoc had three children: two unnamed sons and a daughter Salvia Bolger.[1]",
